,timestamp,experiment_ID,block_ID,stimulus_ID,subject,key_press,rt,fake_human_rt,trial_stim,fake_or_not,UNIX_time,wrong_type
0,2023-04-06_10h09.24.646,040601,1,1,2,w,0.2927,none,YR,False,1680746964.6464,none
1,2023-04-06_10h09.27.128,040601,1,2,2,w,0.3648,none,YR,False,1680746967.1286,none
2,2023-04-06_10h09.29.678,040601,1,3,2,w,0.4583,none,YR,False,1680746969.6784,none
3,2023-04-06_10h09.33.778,040601,1,4,1,none,none,none,BL,False,1680746973.7788,Not_press
4,2023-04-06_10h09.37.879,040601,1,5,1,none,none,none,BR,False,1680746977.8792,Not_press
5,2023-04-06_10h09.40.395,040601,1,6,2,w,0.4118,none,YL,False,1680746980.3959,none
6,2023-04-06_10h09.44.496,040601,1,7,1,none,none,none,BL,False,1680746984.4961,Not_press
7,2023-04-06_10h09.46.929,040601,1,8,1,p,0.3314,none,BR,False,1680746986.9292,none
8,2023-04-06_10h09.49.311,040601,1,9,2,w,0.2822,none,YL,False,1680746989.3119,none
9,2023-04-06_10h09.51.645,040601,1,10,1,p,0.2351,none,BR,False,1680746991.6451,none
10,2023-04-06_10h09.54.195,040601,1,11,2,w,0.4458,none,YR,False,1680746994.1956,none
11,2023-04-06_10h09.57.079,040601,1,12,1,p,0.7825,none,BL,False,1680746997.0791,none
12,2023-04-06_10h09.59.579,040601,1,13,1,p,0.4041,none,BL,False,1680746999.5792,none
13,2023-04-06_10h10.01.961,040601,1,14,1,p,0.2889,none,BR,False,1680747001.9618,none
14,2023-04-06_10h10.04.430,040601,1,15,2,w,0.3685,none,YL,False,1680747004.4301,none
15,2023-04-06_10h10.06.928,040601,1,16,2,w,0.3976,none,YL,False,1680747006.9286,none
16,2023-04-06_10h10.40.180,040601,2,1,1,p,0.2705,none,BL,False,1680747040.1802,none
17,2023-04-06_10h10.42.612,040601,2,2,2,w,0.336,none,YL,False,1680747042.6127,none
18,2023-04-06_10h10.45.061,040601,2,3,2,w,0.3589,none,YL,False,1680747045.0619,none
19,2023-04-06_10h10.47.729,040601,2,4,1,p,0.5637,none,BR,False,1680747047.7296,none
20,2023-04-06_10h10.50.146,040601,2,5,1,p,0.3137,none,BR,False,1680747050.1469,none
21,2023-04-06_10h10.52.513,040601,2,6,1,p,0.2652,none,BL,False,1680747052.513,none
22,2023-04-06_10h10.54.946,040601,2,7,2,w,0.3384,none,YR,False,1680747054.9466,none
23,2023-04-06_10h10.57.346,040601,2,8,1,p,0.2973,none,BL,False,1680747057.3461,none
24,2023-04-06_10h10.59.779,040601,2,9,1,p,0.3294,none,BL,False,1680747059.7799,none
25,2023-04-06_10h11.02.180,040601,2,10,2,w,0.2958,none,YL,False,1680747062.1806,none
26,2023-04-06_10h11.04.679,040601,2,11,2,w,0.4068,none,YR,False,1680747064.6793,none
27,2023-04-06_10h11.07.129,040601,2,12,2,w,0.3474,none,YR,False,1680747067.1295,none
28,2023-04-06_10h11.09.546,040601,2,13,2,w,0.3215,none,YL,False,1680747069.5462,none
29,2023-04-06_10h11.12.079,040601,2,14,1,p,0.441,none,BR,False,1680747072.0796,none
30,2023-04-06_10h11.14.546,040601,2,15,1,p,0.3633,none,BR,False,1680747074.5465,none
31,2023-04-06_10h11.16.995,040601,2,16,2,w,0.3529,none,YR,False,1680747076.9967,none
32,2023-04-06_10h11.55.130,040601,3,1,2,w,0.42,0.7588,YR,True,1680747115.1305,none
33,2023-04-06_10h11.57.996,040601,3,2,2,w,0.4493,0.7588,YL,True,1680747117.9961,none
34,2023-04-06_10h12.00.878,040601,3,3,2,w,0.295,0.7588,YL,True,1680747120.879,none
35,2023-04-06_10h12.03.329,040601,3,4,1,p,0.3555,none,BL,False,1680747123.3297,none
36,2023-04-06_10h12.05.797,040601,3,5,1,p,0.3696,none,BR,False,1680747125.7971,none
37,2023-04-06_10h12.08.214,040601,3,6,1,p,0.311,none,BR,False,1680747128.2143,none
38,2023-04-06_10h12.11.096,040601,3,7,2,w,0.3902,0.7588,YR,True,1680747131.0966,none
39,2023-04-06_10h12.13.496,040601,3,8,1,p,0.2984,none,BR,False,1680747133.4967,none
40,2023-04-06_10h12.16.379,040601,3,9,2,w,0.3467,0.7588,YL,True,1680747136.3799,none
41,2023-04-06_10h12.19.246,040601,3,10,2,w,0.391,0.7588,YR,True,1680747139.2461,none
42,2023-04-06_10h12.21.696,040601,3,11,1,p,0.3566,none,BL,False,1680747141.697,none
43,2023-04-06_10h12.24.246,040601,3,12,1,p,0.4336,none,BL,False,1680747144.2465,none
44,2023-04-06_10h12.26.696,040601,3,13,1,p,0.3396,none,BL,False,1680747146.6961,none
45,2023-04-06_10h12.29.563,040601,3,14,2,w,0.4585,0.7588,YR,True,1680747149.5639,none
46,2023-04-06_10h12.31.996,040601,3,15,1,p,0.3111,none,BR,False,1680747151.9968,none
47,2023-04-06_10h12.34.879,040601,3,16,2,w,0.4303,0.7588,YL,True,1680747154.8797,none
48,2023-04-06_10h13.12.864,040601,4,1,1,p,0.3162,none,BR,False,1680747192.8647,none
49,2023-04-06_10h13.15.229,040601,4,2,1,p,0.2757,none,BL,False,1680747195.2294,none
50,2023-04-06_10h13.17.580,040601,4,3,1,p,0.2535,none,BR,False,1680747197.5801,none
51,2023-04-06_10h13.20.430,040601,4,4,2,w,0.4146,0.734,YR,True,1680747200.4303,none
52,2023-04-06_10h13.23.013,040601,4,5,1,p,0.4843,none,BL,False,1680747203.0133,none
53,2023-04-06_10h13.25.513,040601,4,6,1,p,0.3976,none,BL,False,1680747205.5131,none
54,2023-04-06_10h13.28.364,040601,4,7,2,w,0.3214,0.7338,YR,True,1680747208.3641,none
55,2023-04-06_10h13.31.213,040601,4,8,2,w,0.2797,0.7298,YL,True,1680747211.2138,none
56,2023-04-06_10h13.33.630,040601,4,9,1,p,0.3256,none,BR,False,1680747213.6306,none
57,2023-04-06_10h13.36.462,040601,4,10,2,w,0.3086,0.7324,YL,True,1680747216.4628,none
58,2023-04-06_10h13.38.963,040601,4,11,1,p,0.4036,none,BL,False,1680747218.9636,none
59,2023-04-06_10h13.41.813,040601,4,12,2,w,0.2954,0.7335,YR,True,1680747221.8136,none
60,2023-04-06_10h13.44.230,040601,4,13,1,p,0.3176,none,BR,False,1680747224.2305,none
61,2023-04-06_10h13.47.080,040601,4,14,2,w,0.4211,0.7341,YL,True,1680747227.0802,none
62,2023-04-06_10h13.49.913,040601,4,15,2,w,0.3233,0.7308,YL,True,1680747229.9137,none
63,2023-04-06_10h13.52.763,040601,4,16,2,w,0.2818,0.7318,YR,True,1680747232.7637,none
64,2023-04-06_10h14.47.080,040601,5,1,1,p,0.2651,none,BR,False,1680747287.0803,none
65,2023-04-06_10h14.49.880,040601,5,2,2,w,0.3541,0.6969,YR,True,1680747289.8802,none
66,2023-04-06_10h14.52.680,040601,5,3,2,w,0.5223,0.6951,YL,True,1680747292.6802,none
67,2023-04-06_10h14.55.114,040601,5,4,1,p,0.3304,none,BR,False,1680747295.114,none
68,2023-04-06_10h14.57.597,040601,5,5,1,p,0.3933,none,BL,False,1680747297.5975,none
69,2023-04-06_10h15.00.413,040601,5,6,2,w,0.3819,0.6959,YR,True,1680747300.413,none
70,2023-04-06_10h15.03.231,040601,5,7,2,w,0.3974,0.7043,YL,True,1680747303.2313,none
71,2023-04-06_10h15.05.614,040601,5,8,1,p,0.2925,none,BR,False,1680747305.6143,none
72,2023-04-06_10h15.08.430,040601,5,9,2,w,0.2934,0.7106,YL,True,1680747308.4307,none
73,2023-04-06_10h15.11.247,040601,5,10,2,w,0.2844,0.7032,YL,True,1680747311.2476,none
74,2023-04-06_10h15.13.763,040601,5,11,1,p,0.411,none,BL,False,1680747313.7639,none
75,2023-04-06_10h15.16.214,040601,5,12,1,p,0.3605,none,BL,False,1680747316.2144,none
76,2023-04-06_10h15.19.030,040601,5,13,2,w,0.3731,0.7033,YR,True,1680747319.0309,none
77,2023-04-06_10h15.21.481,040601,5,14,1,p,0.3566,none,BR,False,1680747321.4811,none
78,2023-04-06_10h15.23.946,040601,5,15,1,p,0.3707,none,BL,False,1680747323.9465,none
79,2023-04-06_10h15.26.780,040601,5,16,2,w,0.3116,0.7102,YR,True,1680747326.7803,none
80,2023-04-06_10h15.59.313,040601,6,1,1,p,0.3547,none,BR,False,1680747359.3138,none
81,2023-04-06_10h16.01.697,040601,6,2,1,p,0.2893,none,BL,False,1680747361.6977,none
82,2023-04-06_10h16.04.163,040601,6,3,2,w,0.3616,none,YR,False,1680747364.1634,none
83,2023-04-06_10h16.06.780,040601,6,4,1,p,0.5113,none,BR,False,1680747366.7809,none
84,2023-04-06_10h16.09.214,040601,6,5,2,w,0.3349,none,YL,False,1680747369.2142,none
85,2023-04-06_10h16.11.647,040601,6,6,1,p,0.3409,none,BR,False,1680747371.6477,none
86,2023-04-06_10h16.13.997,040601,6,7,2,w,0.2596,none,YL,False,1680747373.9971,none
87,2023-04-06_10h16.16.430,040601,6,8,2,w,0.3334,none,YL,False,1680747376.4308,none
88,2023-04-06_10h16.18.930,040601,6,9,1,p,0.4041,none,BR,False,1680747378.9307,none
89,2023-04-06_10h16.21.347,040601,6,10,2,w,0.3122,none,YR,False,1680747381.3474,none
90,2023-04-06_10h16.23.763,040601,6,11,2,w,0.3116,none,YR,False,1680747383.7639,none
91,2023-04-06_10h16.26.180,040601,6,12,1,p,0.3272,none,BL,False,1680747386.1804,none
92,2023-04-06_10h16.28.580,040601,6,13,2,w,0.31,none,YL,False,1680747388.5803,none
93,2023-04-06_10h16.31.080,040601,6,14,1,p,0.4061,none,BL,False,1680747391.0808,none
94,2023-04-06_10h16.33.464,040601,6,15,2,w,0.2905,none,YR,False,1680747393.4641,none
95,2023-04-06_10h16.35.913,040601,6,16,1,p,0.3548,none,BL,False,1680747395.9137,none
96,2023-04-06_10h17.12.663,040601,7,1,2,w,0.4332,0.6615,YR,True,1680747432.6638,none
97,2023-04-06_10h17.15.098,040601,7,2,1,p,0.3309,none,BL,False,1680747435.0982,none
98,2023-04-06_10h17.17.781,040601,7,3,1,p,0.5858,none,BR,False,1680747437.7812,none
99,2023-04-06_10h17.20.214,040601,7,4,1,p,0.3344,none,BR,False,1680747440.2149,none
100,2023-04-06_10h17.22.614,040601,7,5,1,p,0.3008,none,BL,False,1680747442.6149,none
