,timestamp,experiment_ID,block_ID,stimulus_ID,subject,key_press,rt,fake_human_rt,trial_stim,fake_or_not,UNIX_time,wrong_type
0,2023-04-07_14h02.14.895,0407_03,1,1,2,w,0.64,none,YL,False,1680847334.8952,none
1,2023-04-07_14h02.17.294,0407_03,1,2,1,p,0.3068,none,BR,False,1680847337.2947,none
2,2023-04-07_14h02.19.928,0407_03,1,3,2,w,0.5312,none,YR,False,1680847339.9282,none
3,2023-04-07_14h02.22.460,0407_03,1,4,2,w,0.4338,none,YL,False,1680847342.4601,none
4,2023-04-07_14h02.25.061,0407_03,1,5,2,w,0.5079,none,YL,False,1680847345.0611,none
5,2023-04-07_14h02.27.478,0407_03,1,6,1,p,0.3161,none,BL,False,1680847347.4781,none
6,2023-04-07_14h02.29.994,0407_03,1,7,1,p,0.4108,none,BL,False,1680847349.994,none
7,2023-04-07_14h02.32.510,0407_03,1,8,1,p,0.4149,none,BR,False,1680847352.512,none
8,2023-04-07_14h02.34.943,0407_03,1,9,1,p,0.3309,none,BL,False,1680847354.9433,none
9,2023-04-07_14h02.37.577,0407_03,1,10,2,w,0.5369,none,YR,False,1680847357.5772,none
10,2023-04-07_14h02.40.211,0407_03,1,11,2,w,0.5276,none,YR,False,1680847360.2111,none
11,2023-04-07_14h02.42.811,0407_03,1,12,2,w,0.5102,none,YL,False,1680847362.8111,none
12,2023-04-07_14h02.45.228,0407_03,1,13,1,p,0.3187,none,BR,False,1680847365.2285,none
13,2023-04-07_14h02.47.577,0407_03,1,14,1,p,0.2455,none,BL,False,1680847367.5778,none
14,2023-04-07_14h02.49.910,0407_03,1,15,1,p,0.2314,none,BR,False,1680847369.911,none
15,2023-04-07_14h02.52.761,0407_03,1,16,2,w,0.7463,none,YR,False,1680847372.761,none
16,2023-04-07_14h03.28.576,0407_03,2,1,1,p,0.3459,none,BL,False,1680847408.577,none
17,2023-04-07_14h03.31.144,0407_03,2,2,2,w,0.4716,none,YR,False,1680847411.1447,none
18,2023-04-07_14h03.33.761,0407_03,2,3,2,w,0.5208,none,YR,False,1680847413.761,none
19,2023-04-07_14h03.36.127,0407_03,2,4,1,p,0.2712,none,BR,False,1680847416.1278,none
20,2023-04-07_14h03.38.644,0407_03,2,5,1,p,0.4254,none,BR,False,1680847418.6441,none
21,2023-04-07_14h03.41.044,0407_03,2,6,1,p,0.3088,none,BR,False,1680847421.0441,none
22,2023-04-07_14h03.43.477,0407_03,2,7,1,p,0.3408,none,BL,False,1680847423.477,none
23,2023-04-07_14h03.46.026,0407_03,2,8,2,w,0.4595,none,YL,False,1680847426.0264,none
24,2023-04-07_14h03.48.560,0407_03,2,9,2,w,0.4374,none,YR,False,1680847428.5606,none
25,2023-04-07_14h03.51.045,0407_03,2,10,2,w,0.3833,none,YL,False,1680847431.0453,none
26,2023-04-07_14h03.53.461,0407_03,2,11,2,w,0.3167,none,YL,False,1680847433.4612,none
27,2023-04-07_14h03.55.810,0407_03,2,12,1,p,0.2518,none,BR,False,1680847435.8107,none
28,2023-04-07_14h03.58.477,0407_03,2,13,2,w,0.5728,none,YR,False,1680847438.4774,none
29,2023-04-07_14h04.00.976,0407_03,2,14,2,w,0.4037,none,YL,False,1680847440.9768,none
30,2023-04-07_14h04.03.393,0407_03,2,15,1,p,0.3195,none,BL,False,1680847443.3935,none
31,2023-04-07_14h04.05.944,0407_03,2,16,1,p,0.4547,none,BL,False,1680847445.9445,none
32,2023-04-07_14h04.41.526,0407_03,3,1,2,w,0.6116,0.9277,YL,True,1680847481.5268,none
