,timestamp,experiment_ID,block_ID,stimulus_ID,subject,key_press,rt,fake_human_rt,trial_stim,fake_or_not,UNIX_time,wrong_type
0,2023-04-26_15h10.15.979,0426_4,1,1,2,w,0.3698,none,YL,False,1682493015.9799,none
1,2023-04-26_15h10.18.446,0426_4,1,2,2,w,0.3662,none,YR,False,1682493018.4467,none
2,2023-04-26_15h10.20.880,0426_4,1,3,2,w,0.3313,none,YR,False,1682493020.8803,none
3,2023-04-26_15h10.23.296,0426_4,1,4,2,w,0.3142,none,YL,False,1682493023.297,none
4,2023-04-26_15h10.25.863,0426_4,1,5,1,p,0.4655,none,BR,False,1682493025.8634,none
5,2023-04-26_15h10.28.364,0426_4,1,6,1,p,0.395,none,BR,False,1682493028.3645,none
6,2023-04-26_15h10.30.964,0426_4,1,7,1,p,0.502,none,BL,False,1682493030.9644,none
7,2023-04-26_15h10.33.613,0426_4,1,8,2,w,0.558,none,YL,False,1682493033.6136,none
8,2023-04-26_15h10.36.214,0426_4,1,9,1,p,0.5088,none,BL,False,1682493036.2141,none
9,2023-04-26_15h10.38.864,0426_4,1,10,1,p,0.5566,none,BL,False,1682493038.8642,none
10,2023-04-26_15h10.41.413,0426_4,1,11,1,p,0.4587,none,BR,False,1682493041.4139,none
11,2023-04-26_15h10.44.146,0426_4,1,12,2,w,0.6378,none,YR,False,1682493044.1465,none
12,2023-04-26_15h10.46.613,0426_4,1,13,2,w,0.3676,none,YL,False,1682493046.6134,none
13,2023-04-26_15h10.49.596,0426_4,1,14,1,p,0.8924,none,BL,False,1682493049.5969,none
14,2023-04-26_15h10.52.114,0426_4,1,15,1,p,0.4218,none,BR,False,1682493052.1151,none
15,2023-04-26_15h10.54.614,0426_4,1,16,2,w,0.4083,none,YR,False,1682493054.6149,none
16,2023-04-26_15h11.29.263,0426_4,2,1,1,p,0.3567,none,BL,False,1682493089.2639,none
17,2023-04-26_15h11.31.763,0426_4,2,2,1,p,0.4028,none,BL,False,1682493091.7634,none
18,2023-04-26_15h11.34.263,0426_4,2,3,1,p,0.4068,none,BR,False,1682493094.2638,none
19,2023-04-26_15h11.37.146,0426_4,2,4,1,p,0.787,none,BR,False,1682493097.1469,none
20,2023-04-26_15h11.39.613,0426_4,2,5,1,p,0.3668,none,BL,False,1682493099.6139,none
21,2023-04-26_15h11.42.047,0426_4,2,6,1,p,0.3397,none,BL,False,1682493102.0473,none
22,2023-04-26_15h11.44.613,0426_4,2,7,2,w,0.4751,none,YR,False,1682493104.6138,none
23,2023-04-26_15h11.47.031,0426_4,2,8,2,w,0.3243,none,YR,False,1682493107.0317,none
24,2023-04-26_15h11.49.447,0426_4,2,9,2,w,0.3071,none,YL,False,1682493109.4472,none
25,2023-04-26_15h11.51.864,0426_4,2,10,2,w,0.3153,none,YR,False,1682493111.8648,none
26,2023-04-26_15h11.54.480,0426_4,2,11,1,p,0.5057,none,BR,False,1682493114.4806,none
27,2023-04-26_15h11.57.214,0426_4,2,12,2,w,0.6417,none,YR,False,1682493117.2141,none
28,2023-04-26_15h11.59.814,0426_4,2,13,1,p,0.5005,none,BR,False,1682493119.814,none
29,2023-04-26_15h12.02.330,0426_4,2,14,2,w,0.412,none,YL,False,1682493122.3308,none
30,2023-04-26_15h12.04.830,0426_4,2,15,2,w,0.4081,none,YL,False,1682493124.8309,none
31,2023-04-26_15h12.07.247,0426_4,2,16,2,w,0.3158,none,YL,False,1682493127.2476,none
32,2023-04-26_15h12.44.580,0426_4,3,1,1,p,0.3678,none,BL,False,1682493164.5809,none
33,2023-04-26_15h12.47.112,0426_4,3,2,1,p,0.4305,none,BR,False,1682493167.1134,none
34,2023-04-26_15h12.49.946,0426_4,3,3,2,w,0.473,0.7225,YL,True,1682493169.9467,none
35,2023-04-26_15h12.52.780,0426_4,3,4,2,w,0.3022,0.7225,YR,True,1682493172.7807,none
36,2023-04-26_15h12.55.614,0426_4,3,5,2,w,0.326,0.7225,YR,True,1682493175.6145,none
37,2023-04-26_15h12.58.447,0426_4,3,6,2,w,0.3405,0.7225,YR,True,1682493178.447,none
38,2023-04-26_15h13.01.280,0426_4,3,7,2,w,0.3471,0.7225,YR,True,1682493181.2807,none
39,2023-04-26_15h13.03.748,0426_4,3,8,1,p,0.362,none,BL,False,1682493183.7481,none
40,2023-04-26_15h13.06.581,0426_4,3,9,2,w,0.663,0.7225,YL,True,1682493186.5816,none
41,2023-04-26_15h13.09.031,0426_4,3,10,1,p,0.3485,none,BL,False,1682493189.0315,none
42,2023-04-26_15h13.12.013,0426_4,3,11,1,p,0.8918,none,BR,False,1682493192.0135,none
43,2023-04-26_15h13.14.432,0426_4,3,12,1,p,0.3237,none,BR,False,1682493194.4321,none
44,2023-04-26_15h13.16.880,0426_4,3,13,1,p,0.3314,none,BL,False,1682493196.8804,none
45,2023-04-26_15h13.19.264,0426_4,3,14,1,p,0.29,none,BR,False,1682493199.264,none
46,2023-04-26_15h13.22.096,0426_4,3,15,2,w,0.3541,0.7225,YL,True,1682493202.0969,none
47,2023-04-26_15h13.24.947,0426_4,3,16,2,w,0.3612,0.7225,YL,True,1682493204.9477,none
48,2023-04-26_15h14.01.182,0426_4,4,1,1,p,0.3354,none,BR,False,1682493241.1821,none
49,2023-04-26_15h14.03.665,0426_4,4,2,1,p,0.3815,none,BR,False,1682493243.665,none
50,2023-04-26_15h14.06.482,0426_4,4,3,2,w,0.4022,0.6961,YL,True,1682493246.4822,none
51,2023-04-26_15h14.09.297,0426_4,4,4,2,w,0.3139,0.6911,YR,True,1682493249.2972,none
52,2023-04-26_15h14.12.097,0426_4,4,5,2,w,0.3049,0.6916,YL,True,1682493252.0979,none
53,2023-04-26_15h14.14.514,0426_4,4,6,1,p,0.321,none,BR,False,1682493254.5143,none
54,2023-04-26_15h14.17.330,0426_4,4,7,2,w,0.3443,0.6934,YR,True,1682493257.3305,none
55,2023-04-26_15h14.19.947,0426_4,4,8,1,p,0.5198,none,BL,False,1682493259.9484,none
56,2023-04-26_15h14.22.747,0426_4,4,9,2,w,0.318,0.6919,YL,True,1682493262.7474,none
57,2023-04-26_15h14.25.280,0426_4,4,10,1,p,0.439,none,BL,False,1682493265.2803,none
58,2023-04-26_15h14.27.747,0426_4,4,11,1,p,0.3616,none,BL,False,1682493267.7473,none
59,2023-04-26_15h14.30.565,0426_4,4,12,2,w,0.3271,0.6959,YR,True,1682493270.5654,none
60,2023-04-26_15h14.33.215,0426_4,4,13,1,p,0.5327,none,BL,False,1682493273.2152,none
61,2023-04-26_15h14.36.015,0426_4,4,14,2,w,0.388,0.6911,YL,True,1682493276.0155,none
62,2023-04-26_15h14.38.481,0426_4,4,15,1,p,0.3475,none,BR,False,1682493278.4817,none
63,2023-04-26_15h14.41.280,0426_4,4,16,2,w,0.4409,0.6941,YR,True,1682493281.2806,none
64,2023-04-26_15h15.17.514,0426_4,5,1,2,w,0.3195,0.6593,YR,True,1682493317.515,none
65,2023-04-26_15h15.20.297,0426_4,5,2,2,w,0.3122,0.6656,YL,True,1682493320.2977,none
66,2023-04-26_15h15.22.748,0426_4,5,3,1,p,0.3528,none,BR,False,1682493322.7483,none
67,2023-04-26_15h15.25.298,0426_4,5,4,1,p,0.4468,none,BL,False,1682493325.2981,none
68,2023-04-26_15h15.27.748,0426_4,5,5,1,p,0.345,none,BL,False,1682493327.7486,none
69,2023-04-26_15h15.30.530,0426_4,5,6,2,w,0.4387,0.6666,YR,True,1682493330.5307,none
70,2023-04-26_15h15.33.314,0426_4,5,7,2,w,0.2869,0.6655,YL,True,1682493333.3147,none
71,2023-04-26_15h15.36.097,0426_4,5,8,2,w,0.312,0.6686,YR,True,1682493336.0978,none
72,2023-04-26_15h15.38.598,0426_4,5,9,1,p,0.4089,none,BL,False,1682493338.5982,none
73,2023-04-26_15h15.41.081,0426_4,5,10,1,p,0.3885,none,BR,False,1682493341.0814,none
74,2023-04-26_15h15.43.682,0426_4,5,11,1,p,0.5058,none,BL,False,1682493343.6821,none
75,2023-04-26_15h15.46.364,0426_4,5,12,1,p,0.586,none,BR,False,1682493346.3642,none
76,2023-04-26_15h15.49.148,0426_4,5,13,2,w,0.414,0.6658,YL,True,1682493349.1482,none
77,2023-04-26_15h15.51.831,0426_4,5,14,1,p,0.5826,none,BR,False,1682493351.8316,none
78,2023-04-26_15h15.54.614,0426_4,5,15,2,w,0.3235,0.6672,YR,True,1682493354.6149,none
79,2023-04-26_15h15.57.397,0426_4,5,16,2,w,0.316,0.6612,YL,True,1682493357.398,none
80,2023-04-26_15h17.04.248,0426_4,6,1,1,p,0.4225,none,BL,False,1682493424.248,none
81,2023-04-26_15h17.06.998,0426_4,6,2,2,w,0.3387,0.6395,YR,True,1682493426.9982,none
82,2023-04-26_15h17.09.748,0426_4,6,3,2,w,0.4131,0.64,YL,True,1682493429.7485,none
83,2023-04-26_15h17.12.248,0426_4,6,4,1,p,0.4065,none,BL,False,1682493432.2484,none
84,2023-04-26_15h17.14.764,0426_4,6,5,1,p,0.4184,none,BR,False,1682493434.7642,none
85,2023-04-26_15h17.17.515,0426_4,6,6,2,w,0.3503,0.6345,YL,True,1682493437.5151,none
86,2023-04-26_15h17.20.181,0426_4,6,7,1,p,0.5756,none,BR,False,1682493440.1812,none
87,2023-04-26_15h17.22.930,0426_4,6,8,2,w,0.309,0.6411,YR,True,1682493442.9309,none
88,2023-04-26_15h17.25.681,0426_4,6,9,2,w,0.4149,0.6417,YR,True,1682493445.6815,none
89,2023-04-26_15h17.28.414,0426_4,6,10,2,w,0.4572,0.63,YL,True,1682493448.4143,none
90,2023-04-26_15h17.30.914,0426_4,6,11,1,p,0.3958,none,BR,False,1682493450.9149,none
91,2023-04-26_15h17.33.432,0426_4,6,12,1,p,0.4157,none,BL,False,1682493453.4326,none
92,2023-04-26_15h17.36.181,0426_4,6,13,2,w,0.2831,0.643,YR,True,1682493456.1817,none
93,2023-04-26_15h17.38.631,0426_4,6,14,1,p,0.3492,none,BR,False,1682493458.6313,none
94,2023-04-26_15h17.41.399,0426_4,6,15,2,w,0.3631,0.6452,YL,True,1682493461.3991,none
95,2023-04-26_15h17.43.997,0426_4,6,16,1,p,0.5005,none,BL,False,1682493463.9979,none
96,2023-04-26_15h18.17.682,0426_4,7,1,1,p,0.4971,none,BL,False,1682493497.6823,none
97,2023-04-26_15h18.20.098,0426_4,7,2,2,w,0.3203,none,YR,False,1682493500.098,none
98,2023-04-26_15h18.22.515,0426_4,7,3,2,w,0.3121,none,YL,False,1682493502.5157,none
99,2023-04-26_15h18.24.964,0426_4,7,4,1,p,0.3439,none,BR,False,1682493504.9647,none
100,2023-04-26_15h18.27.398,0426_4,7,5,2,w,0.3329,none,YR,False,1682493507.3983,none
101,2023-04-26_15h18.29.781,0426_4,7,6,1,p,0.2925,none,BR,False,1682493509.7818,none
102,2023-04-26_15h18.32.214,0426_4,7,7,2,w,0.3419,none,YL,False,1682493512.2141,none
103,2023-04-26_15h18.34.864,0426_4,7,8,1,p,0.5479,none,BL,False,1682493514.8648,none
104,2023-04-26_15h18.37.414,0426_4,7,9,1,p,0.4489,none,BR,False,1682493517.4148,none
105,2023-04-26_15h18.39.848,0426_4,7,10,2,w,0.3398,none,YL,False,1682493519.8486,none
106,2023-04-26_15h18.42.281,0426_4,7,11,1,p,0.33,none,BR,False,1682493522.2819,none
